galaxy,logMbar,delta_mass_std,slope_tail
G000,9.660934072833944,-0.7563349907429378,-0.12151485278588695
G001,9.158317659628079,0.012659863241266,-0.011902929186446337
G002,9.787896879867073,0.38852487128577295,-0.23545052926730686
G003,9.546052043589047,0.16223321844180472,-0.11829206178465715
G004,8.641266021831473,-0.6004486966798848,-0.024881921206532653
G005,9.963433527455134,0.6082490523645254,-0.21186930794404768
G006,9.64170955298553,0.4308142592316033,-0.0586449524885177
G007,9.679096457915431,0.4779680078310835,-0.28238518821333025
G008,8.692170449013318,-0.7378844968853735,-0.22261076931301435
G009,9.17557890684335,-0.7524923926993108,-0.22634757879966583
G010,9.056197036348872,0.8551251020130153,-0.38916792911780795
G011,9.890147483272903,-0.20484361235011872,-0.05260550384288362
G012,9.465797680120996,-0.3981026164381205,-0.24388046804054478
G013,9.734142419906245,-0.02283190929693335,-0.14750117625446252
G014,9.165121298240997,0.32572842552716486,-0.053850668218818204
G015,8.840858082677165,0.9112465140939399,-0.060693764794011174
G016,9.331877180523753,-0.42710754623589,-0.01692297820544275
G017,8.595725884156263,0.8496168586240542,-0.16969709690188473
G018,9.741446757988873,-0.9502810172274874,-0.23465966240883074
G019,9.447496598683097,0.11039608465364936,-0.1659436421812798
G020,9.63713161012806,0.2679502233621702,-0.487466886791606
G021,9.031788952194802,-0.7882051924984934,-0.43942249448461745
G022,11.458977234152865,-1.3226996123544024,0.1833559488908454
G023,11.350369569851077,-0.9972468276014818,-0.26508745284988017
G024,11.189736895903266,0.3997742267234366,-0.9398054458987738
G025,10.372494190992754,-0.9054790553600608,-0.0728794470213141
G026,10.753409405217848,-0.3781625540393897,-0.05806425411551128
G027,10.16132527210212,1.2992282977860654,0.16740347609613365
G028,10.316005288894567,-0.35626397106142593,0.008988999907582132
G029,11.056268534539436,0.7375155684670865,0.021841133869097085
G030,11.142667018270943,-0.933617680009877,-0.06963293541269772
G031,11.454513625407895,-0.20543755786763002,-0.5623462392065208
G032,10.556155501393413,-0.9500220549105812,-0.25104008841977443
G033,10.618643588448816,-0.3390330759005625,-0.3383805030441325
G034,10.75737813578613,0.8403081374573955,0.44929545173684715
G035,10.365259902718,-1.7273204231923487,0.03964145526795004
G036,10.28189010746966,0.43442364354585733,0.05506858843078083
G037,10.765986896716306,0.2377356023322779,-0.5824915519344939
G038,10.417673088671238,-0.5941499556967944,0.40087419185873596
G039,11.037739592555514,-1.4460578543884546,0.4377977427588816
G040,10.712012686421263,0.07212950771386951,-0.23429401137739703
G041,11.265749474480973,-0.5294927090638024,-0.007457197735032894
G042,11.080371142803148,0.23267621135470395,-0.4817179415781674
G043,10.537313297934856,0.02185214552344288,0.02187323693579938
G044,11.265163721953282,1.6017788913209154,-0.8125270595325866
G045,11.226670100495522,-0.23935562747302427,-0.568435617264992
G046,10.642469730642244,-1.023497492621865,-0.35412578194128835
G047,10.503659345502342,0.17927563495631615,-0.13474752339804705
G048,11.055493705564965,0.21999668397176517,0.41563749737264444
G049,10.295653477053033,1.3591875752404365,-0.4937596271427556
G050,10.379871483465152,0.8351112459145785,-0.4479887042183266
G051,10.110307177651407,0.35687105914950934,-0.14273086190383563
G052,11.201694128502993,1.4633028912195618,-0.0665901706831386
G053,11.030791199228846,-1.188763054322851,0.29438191684239784
G054,11.087231530076869,-0.6397515327497477,-0.1224454325085706
G055,11.193020643430755,-0.9265759414055249,0.570488266445613
G056,10.742482085753675,-0.38980980315576796,0.1384455163313758
G057,10.896237674334051,-1.3766861475563088,0.8773082410652895
G058,10.29571579737872,0.6351509468144043,-0.26725150915555884
G059,10.260342102950363,-0.22222269709877338,-0.5731208035585682
G060,11.03576414650666,-1.4708062945026579,-0.2560217913474687
G061,10.759534688600386,-1.0155790812075416,0.8150448972547624
G062,10.891330549073665,0.3135138474501953,0.4454121340782603
G063,11.170998400382436,0.8381265678943811,-0.47324565568135457
G064,10.988605648000828,1.9967308916917865,-0.9022941959619311
G065,10.875011160921193,2.9138624660073296,-0.439581022905318
G066,10.88289002504358,0.4144094332759964,-0.717141102800194
G067,10.525530137287657,-0.9895381200318641,-0.2110293715727714
G068,10.143144968395115,-2.132046280731309,0.7469446020950105
G069,10.711404344925308,0.2677114623438358,-0.38815548784698656
G070,10.40041854194734,-0.812941095310326,0.09183358190506927
G071,10.67194010121449,-0.41535726017968533,-0.09076998135589942
G072,11.294764302575432,-0.6120967990598081,0.16865885923751586
G073,10.427515280211477,-0.14079088641638526,0.4552300104504023
G074,10.181623838364692,1.0659802307876436,-0.43356010647559484
G075,10.493937448830795,0.15704856744534462,0.0604609470771398
