Galaxy	Vflat	e_Vflat	Vobs	Quality	Dist_Mpc	Inc_deg
UGC00001	245.61446476805807	18.46723083366756	107.93386038316596	C	24.124493551388024	74.87497026831144
UGC00002	126.54914395768866	9.89425075163067	129.770010459984	C	40.93352057828679	70.28014761852523
UGC00003	94.00006290667775	13.203345397173301	112.62737639717335	C	41.113370456937886	71.26406077797438
UGC00004	200.02511139021874	18.392427929780823	73.14990939903683	C	28.349771013417577	50.83889261606221
UGC00005	210.4983263397529	14.494978019712104	75.64588152930827	C	32.290813922303045	30.936864795440552
UGC00006	183.19501355824806	11.082313260735294	80.63038646995842	C	47.84998149614318	34.04300805038569
UGC00007	247.18403689939004	10.230990133519228	112.20217511823748	B	33.89432362298736	40.8565249129849
UGC00008	186.63577353849638	12.88803968450664	191.32568200491784	C	11.614350490343227	54.15833992837719
UGC00009	174.53821148485264	10.194741238153398	109.01000757414488	C	8.179854161631647	30.206183159178764
UGC00010	91.33168038171445	6.014560132494624	160.99849730734735	A	34.68592672947953	76.41675789724692
UGC00011	155.8252835214334	13.559175650274323	126.58571131592677	C	30.761207382323676	77.28279404227378
UGC00012	201.2295857171968	8.433252694303727	139.26446566474937	A	9.638829579280129	38.617610429777834
UGC00013	149.15532629835872	16.99052238212473	99.22386091847383	B	33.82367445568612	52.294236692522865
UGC00014	143.01148005766873	19.493983891359775	191.63669856523262	A	6.0536931568486985	83.01047456988042
UGC00015	247.6845545508078	16.022671972892596	96.92991388522105	B	36.05638447771847	72.44045606074118
UGC00016	83.18136534268764	16.371898291999923	214.60327292128824	C	5.485868489676835	39.68660789810373
UGC00017	153.81101521663786	18.92632825326926	79.63620404179308	C	12.408500050617059	67.15163618987742
UGC00018	123.41319345784264	9.362306570797266	176.26200418178848	C	33.368497106539664	53.51891170611477
UGC00019	171.48403928073495	5.182368736752325	182.4656560701924	C	32.203899560598416	47.42953941478807
UGC00020	187.05034828683	8.866894933957429	196.21147712344526	B	26.13773861060675	65.0658392790018
UGC00021	140.42148957195948	8.790088279545108	119.56606049459799	A	18.41561089198447	64.99129306285884
UGC00022	121.0322371812546	10.521535453524685	122.6144618527243	C	27.2733168142817	54.23404361717854
UGC00023	185.56583153253356	19.32887347215144	98.6705918479874	A	28.78120743598851	33.45483573722076
UGC00024	185.97077972377608	8.53946113172942	96.58894006932326	C	35.01602775048711	64.38503852339412
UGC00025	132.84247305218554	5.141897532884154	133.34990256262193	B	47.656425286382834	79.25297093000827
UGC00026	122.18188365089594	16.56806892877701	107.76220259217675	A	13.486898029761681	53.60277739596813
UGC00027	122.21612799770355	17.325854335082063	108.40570579070244	C	39.33662239215419	73.57096639795978
UGC00028	207.28199028431084	19.06345319072419	89.26542340432528	C	39.33353460916471	67.19154196638485
UGC00029	206.858337922618	13.907960733234944	206.53905886155698	A	27.47205712619729	41.5446670884452
UGC00030	203.09979416070172	15.069280253302516	120.68530372947832	A	48.48371429526983	46.34239528375831
UGC00031	87.69849358514034	13.191505805483876	105.55220876955683	A	16.1081760116277	58.573027337611066
UGC00032	204.46993154064526	15.732519499422548	203.56461869228448	C	46.278191156919384	38.888253254551266
UGC00033	210.75072815580097	14.995429339730057	232.11205609732943	B	21.006154209835113	41.645448052528906
UGC00034	182.24699356907064	15.754511469120372	135.63388785584635	C	29.92015429110156	79.22772098308408
UGC00035	172.92033821278994	18.00511797198063	137.81856381918558	B	40.74930973551869	33.69475413622246
UGC00036	178.6059947682643	16.489364527261564	235.9305740954053	A	16.63901450376187	74.25406010325284
UGC00037	168.12133814837713	18.329054862580577	118.84696658996839	C	33.04288779767347	51.44785238801448
UGC00038	168.4621970625966	8.126555700165339	192.8324595264267	C	5.2846364630313	37.523315967596616
UGC00039	211.1638967871377	14.070626634225246	124.34547283859844	A	31.347657550362506	53.82243691128701
UGC00040	98.00107893227154	19.765476297237445	110.38546871807382	C	33.86479092818145	62.36013785932752
UGC00041	231.69489891257786	6.180846676842108	235.66526601889407	A	8.342935832119949	81.5676543386507
UGC00042	116.30596698469648	6.397791020324653	229.3849156124816	C	37.995532407759356	33.471254710792
UGC00043	135.70426693006024	18.44490179962346	108.30726044259089	C	18.65074600923979	47.38753619913417
UGC00044	103.04498290492526	7.491082875860015	202.5244559135516	A	21.024532966579514	79.27902964643476
UGC00045	171.02840506053434	15.607521838699984	133.5832220769343	B	15.477186899748554	33.00164732879129
UGC00046	135.7445430159664	11.772469481611932	200.93947542142857	A	12.06585274530476	58.25702137657939
UGC00047	191.15763716757215	19.00167005596894	169.8995849012017	C	45.2939716433793	66.02970904206086
UGC00048	152.1218405041647	15.291911152879152	142.4113815534558	B	30.320425785074697	47.71580322326446
UGC00049	201.9393403116024	12.725040908248229	79.88785076524042	A	29.482930878400047	42.68743216196457
UGC00050	140.34334527528893	13.664442192329613	75.7329045412635	A	10.179921647969053	65.46865544705979
UGC00051	124.28044776012999	6.335249397923987	174.07241972712677	B	47.97389484961528	79.40337790625708
UGC00052	155.06247386748225	10.602937347612706	127.87043282494346	B	45.15382302177667	42.97344202110908
UGC00053	212.61629959163582	16.871206848529283	134.3794188608414	C	44.53503625374661	48.274743583554866
UGC00054	166.2218187695398	11.892338322956459	189.09940404607403	C	6.127957331257496	52.35192441918541
UGC00055	178.95626306105672	6.71765612150117	132.83254062901668	B	33.74880848970177	30.75604058267889
UGC00056	151.5569119404994	13.03110130392835	97.18908082567737	A	13.467781168071378	31.726314536936027
UGC00057	238.40791601511665	15.462360226342053	137.4900087122026	B	29.806671149127826	54.046310261684596
UGC00058	159.81405894761627	15.96589648373418	218.42014389436537	C	8.3158767813734	78.62939813356707
UGC00059	202.53844476700135	13.430384526954358	81.18454013635468	A	33.03259029440299	47.973436909347186
UGC00060	151.43041254085603	12.523464541117733	114.11976815763487	C	15.067498937465022	50.41101046529513
UGC00061	135.31283260319836	12.633687609886717	128.4302393970262	C	31.22140800345065	32.748144647858176
UGC00062	164.3001701209817	11.852392568700608	214.5912339630669	B	16.50556715299003	76.42374511170243
UGC00063	160.48155834491234	7.238442807471841	201.266033793185	A	20.22315968971695	60.77118825475381
UGC00064	125.26223639267002	17.205977194883573	80.26473568675195	A	37.03201903063493	38.6629629343412
UGC00065	123.98527843777039	15.179147476176125	232.74166910245677	A	8.316300756692826	70.03187411959823
UGC00066	170.62958945168816	10.204286484747437	127.04124057140967	C	25.97224242890878	53.597744374627055
UGC00067	104.16256908103819	19.4640207704565	122.62099964896746	A	49.6014826787916	54.36103158861131
UGC00068	140.20597133078417	18.504897611382255	213.36239959515913	B	21.59947027306706	72.14334830288627
UGC00069	233.3980355007211	18.07687445755405	110.01369430182692	A	45.60612765028152	36.08705729399108
UGC00070	86.165604045622	8.67962738376338	86.83669475879708	A	42.63870312213966	37.42993921292813
UGC00071	117.98799156157634	11.39664356191491	151.06637132513214	A	5.650960710099265	57.00229539872114
UGC00072	106.22583151301325	5.033997616415308	142.63451509544086	C	41.078013950459564	38.34015735126505
UGC00073	139.86919472507722	17.737561368946565	105.38213025350792	B	28.810986716350357	42.24313466472798
UGC00074	200.60376473411037	9.396566122696626	164.09892601282354	C	29.837156562955922	37.78701967472012
UGC00075	224.2569816432508	14.267164725137116	200.06223393538752	A	20.088135790452867	47.48553336774137
UGC00076	147.16912570041893	19.16719647812984	203.5260674196266	A	32.10976305221155	35.02038483781456
UGC00077	241.42744784965564	6.133566236453898	199.49003357671558	C	14.552817569896655	57.048420475671435
UGC00078	136.18269879060364	18.40355757267608	177.36892698786315	B	37.17548047201832	45.115797283543486
UGC00079	205.81818894387783	9.377965720121622	219.35160219618487	C	14.022225309765467	31.957422307801664
UGC00080	102.19278736288214	18.126173882987473	237.33143411657377	A	37.41278365294432	62.098399893444395
UGC00081	91.80408204806315	14.123583419598095	195.13185239658048	A	47.467586358557014	49.5317917917095
UGC00082	175.80309417742234	18.622811550043338	141.86397483248274	C	23.947334441182914	31.949049441568892
UGC00083	132.71597190005943	10.712707539907509	231.93551949910793	C	42.20890251276956	81.47702560285153
UGC00084	249.3918916043131	19.32362769881697	104.434612302955	A	27.270469025195965	60.016977549684356
UGC00085	171.27373294782427	12.757018819257475	196.14418860102404	A	23.333108752768354	79.14408912112881
UGC00086	175.34117814705112	13.436630598313291	200.84073826099325	C	46.3075248207654	84.23556953600223
UGC00087	226.0651758633591	16.002501561171663	77.90328196528759	A	17.750930601954472	66.3789668096581
UGC00088	178.48705244233	15.495852034079963	104.15039191619722	C	20.99627241359042	65.03264458898579
UGC00089	193.31830512197382	8.884166367762774	88.24773613237635	C	33.185146606307526	45.78989346249685
UGC00090	137.6415659096038	18.044040112092752	83.58751321957827	C	29.438219883159082	54.013757283966655
UGC00091	161.3321919268725	10.560256477610698	142.63990954753234	A	30.354344476678424	68.598281215664
UGC00092	87.92622687655236	10.803184786755882	180.14137989275577	C	8.643556409054137	54.93144993663982
UGC00093	114.26887418288064	14.153410924621625	224.25266152725834	B	7.441576145598429	65.39083297506056
UGC00094	184.94253398667146	9.827067494923252	95.83056030316207	C	35.72678204182003	35.07764596580904
UGC00095	189.8358363605391	8.119568377867466	229.70141077478718	B	27.852276170559016	73.39563839141192
UGC00096	129.7836473148665	19.516194217357167	191.05813731270337	A	11.277293051167646	60.622993939557055
UGC00097	128.68219093335716	11.88868446923571	209.27699776399533	B	33.28275639190435	73.79656060900933
UGC00098	114.61482399847195	19.566104748840104	141.04353996503175	A	40.36896274403296	58.43893660403239
UGC00099	132.73948059667163	7.108304141160301	175.15783025733163	C	47.551776707074694	65.50106409856313
UGC00100	202.26398821617968	14.638338876040994	84.31898051016069	B	41.92158293805019	31.488955333709313
UGC00101	242.99924777633126	6.818153608410188	108.02221906472926	A	35.50970070865881	68.93447922890874
UGC00102	199.38555144335757	10.335521936794382	236.74282679747063	B	34.46540406468846	76.63995151853659
UGC00103	246.62989123997278	16.439314292974	161.9993785729172	B	48.24769786865192	57.59313632844468
UGC00104	148.01131415563165	19.766990449834626	141.8520269359738	C	23.375270017886336	74.6177297410662
UGC00105	163.95377713066608	13.177644998430194	90.85011235743252	B	15.71165836002257	48.213865237204814
UGC00106	204.15424993441684	15.096436541873462	205.2373809849104	C	21.000328948751957	67.29298812992826
UGC00107	219.90657745838033	7.570001770132707	135.89538285203213	B	33.367934365304656	56.72179766335188
