galaxy,r_kpc,v_hinge,residual_scm,residual_bary,improvement
G0000,0.5,1.3606640101803236,0.08056663960550736,0.08116448425873024,0.0005978446532228787
G0000,1.263157894736842,2.1626922102932626,0.06845614821645007,0.06996490884957929,0.0015087606331292136
G0000,2.026315789473684,2.739172985469577,0.10068059266890561,0.10309836266904249,0.0024177700001368763
G0000,2.7894736842105265,3.213860558921229,0.07694014957339235,0.08026503029232579,0.003324880718933443
G0000,3.5526315789473686,3.6269450974687545,0.047910036001071354,0.05214013670547857,0.004230100704407214
G0000,4.315789473684211,3.997569485064117,0.08615134496888288,0.0912847827909351,0.0051334378220522225
G0000,5.078947368421053,4.336633813890556,0.12454859944069341,0.1305834993290791,0.006034899888385681
G0000,5.842105263157895,4.6510454613605,0.10897371858619209,0.11590821325754419,0.006934494671352098
G0000,6.605263157894737,4.945508561463145,0.03677545965411966,0.04460768954484351,0.007832229890723852
G0000,7.36842105263158,5.2233979342348045,0.010220931877881867,0.018949045096380956,0.00872811321849909
G0000,8.131578947368421,5.487232182733986,0.038599813791662996,0.04822196607095819,0.009622152279295193
G0000,8.894736842105264,5.738950084736296,0.06699974007386089,0.07751409472459692,0.010514354650736024
G0000,9.657894736842106,5.980081865907682,-0.043026204634447396,-0.03162147677060467,-0.011404727863842723
G0000,10.421052631578949,6.2118604436047224,0.053873545165640024,0.0661668245690521,0.012293279403412072
G0000,11.18421052631579,6.435296513656866,0.0066731217190110215,0.019853138427400552,0.01318001670838953
G0000,11.947368421052632,6.651230883569399,0.02925746647931149,0.043322413651560865,0.014064947172249376
G0000,12.710526315789474,6.860371951608056,0.036808665624150194,0.05175674376751438,0.014948078143364185
G0000,13.473684210526317,7.063323181213903,0.04604524143021571,0.06187465835558292,0.015829416925367212
G0000,14.23684210526316,7.260603653287848,0.07670761729420583,0.0934165880717206,0.016708970777514764
G0000,15.0,7.452663715612022,0.1022696672696739,0.11985641418472426,0.017586746915050355
G0001,0.5,1.3606640101803236,0.06957377802154241,0.07012079811260641,0.0005470200910639988
G0001,1.263157894736842,2.1626922102932626,0.1317456810672306,0.13312630043050255,0.00138061936327194
G0001,2.026315789473684,2.739172985469577,0.04412799688383817,0.04634061854594673,0.0022126216621085604
G0001,2.7894736842105265,3.213860558921229,0.08781125632646525,0.09085428942116458,0.0030430330946993323
G0001,3.5526315789473686,3.6269450974687545,0.11022592988691304,0.11409778962012052,0.0038718597332074722
G0001,4.315789473684211,3.997569485064117,0.07509523093489712,0.0797943385499904,0.00469910761509329
G0001,5.078947368421053,4.336633813890556,0.037290970195798856,0.042815752939184826,0.00552478274338597
G0001,5.842105263157895,4.6510454613605,0.028390311995362794,0.03473920308230127,0.00634889108693848
G0001,6.605263157894737,4.945508561463145,0.04843977665386845,0.05561121523455981,0.007171438580691358
G0001,7.36842105263158,5.2233979342348045,0.0772392643639126,0.08523169548983489,0.007992431125922295
G0001,8.131578947368421,5.487232182733986,0.021916529835348086,0.030728404425856226,0.00881187459050814
G0001,8.894736842105264,5.738950084736296,0.056959008229721775,0.06658878303889892,0.00962977480917715
G0001,9.657894736842106,5.980081865907682,0.0583321373288932,0.06877827491263844,0.01044613758374524
G0001,10.421052631578949,6.2118604436047224,0.0876366780350395,0.09889764671841483,0.011260968683375339
G0001,11.18421052631579,6.435296513656866,0.07291958181794023,0.08499385566276452,0.01207427384482429
G0001,11.947368421052632,6.651230883569399,0.07813306987672775,0.09101912864939798,0.01288605877267024
G0001,12.710526315789474,6.860371951608056,0.03315474384334749,0.04685107298291591,0.01369632913956842
G0001,13.473684210526317,7.063323181213903,0.05556854404256306,0.07007363462903982,0.014505090586476754
G0001,14.23684210526316,7.260603653287848,0.09380590471466022,0.10911825343756476,0.015312348722904545
G0001,15.0,7.452663715612022,0.12215440291094559,0.13827251203808189,0.016118109127136293
G0002,0.5,1.3606640101803236,0.0187410846480498,0.019243495226819007,0.0005024105787692079
G0002,1.263157894736842,2.1626922102932626,0.13783213326625887,0.13910026223193483,0.0012681289656759631
G0002,2.026315789473684,2.739172985469577,0.13025645249203244,0.13228895215802083,0.0020324996659883965
G0002,2.7894736842105265,3.213860558921229,0.10621138401439101,0.10900691142969876,0.0027955274153077525
G0002,3.5526315789473686,3.6269450974687545,0.08357367751579314,0.08713089444011413,0.003557216924320983
G0002,4.315789473684211,3.997569485064117,0.05766180536021004,0.06197937823917865,0.004317572878968612
G0002,5.078947368421053,4.336633813890556,0.13176373032567934,0.13684033026630438,0.005076599940625037
G0002,5.842105263157895,4.6510454613605,0.15110159711671933,0.15693589986298484,0.005834302746265507
G0002,6.605263157894737,4.945508561463145,0.14404844896208946,0.150639134870727,0.006590685908637539
G0002,7.36842105263158,5.2233979342348045,0.12369015948233653,0.1310359134987671,0.007345754016430561
G0002,8.131578947368421,5.487232182733986,0.08300528390489603,0.09110479553933715,0.008099511634441114
G0002,8.894736842105264,5.738950084736296,0.012740327657741801,0.021592290961478966,0.008851963303737165
G0002,9.657894736842106,5.980081865907682,0.06592442681573907,0.07552754035756415,0.009603113541825081
G0002,10.421052631578949,6.2118604436047224,0.093420465004602,0.10377343184741683,0.010352966842814837
G0002,11.18421052631579,6.435296513656866,0.006783122158376287,0.017884649835949062,0.011101527677572776
G0002,11.947368421052632,6.651230883569399,0.08086482825255281,0.09271362874644318,0.011848800493890366
G0002,12.710526315789474,6.860371951608056,0.08159715958078095,0.0941919492974197,0.012594789716638743
G0002,13.473684210526317,7.063323181213903,0.09209613586280518,0.10543563561072666,0.01333949974792148
G0002,14.23684210526316,7.260603653287848,0.008627239313033996,0.02271017428027733,0.014082934967243332
G0002,15.0,7.452663715612022,0.031672382400101284,0.04649748213175009,0.014825099731648805
G0003,0.5,1.3606640101803236,0.056093952818224935,0.05655699539801162,0.0004630425797866877
G0003,1.263157894736842,2.1626922102932626,0.022201947367881836,0.023370788686713162,0.0011688413188313262
G0003,2.026315789473684,2.739172985469577,0.14628133985090663,0.14815483473258162,0.0018734948816749863
G0003,2.7894736842105265,3.213860558921229,0.05133535628729824,0.05391236326575033,0.00257700697845209
G0003,3.5526315789473686,3.6269450974687545,0.08661236391580918,0.08989174521710463,0.0032793813012954587
G0003,4.315789473684211,3.997569485064117,0.06043749408212218,0.06441811560658017,0.0039806215244579946
G0003,5.078947368421053,4.336633813890556,0.13722293165995048,0.14190366296436707,0.004680731304416597
G0003,5.842105263157895,4.6510454613605,0.12587040424085494,0.13125011852085322,0.005379714279998282
G0003,6.605263157894737,4.945508561463145,0.09672303766273238,0.10280061173522093,0.006077574072488545
G0003,7.36842105263158,5.2233979342348045,-0.032444587551660575,-0.025670273265919974,-0.006774314285740601
G0003,8.131578947368421,5.487232182733986,0.0705077195643824,0.07797765807067414,0.00746993850629174
G0003,8.894736842105264,5.738950084736296,0.09675244103526026,0.10491689133873372,0.008164450303473458
G0003,9.657894736842106,5.980081865907682,0.10940558814218093,0.1182634413717043,0.008857853229523371
G0003,10.421052631578949,6.2118604436047224,0.03891220447318844,0.04846235529287135,0.009550150819682912
G0003,11.18421052631579,6.435296513656866,0.1412092196995598,0.15145056629188325,0.010241346592323453
G0003,11.947368421052632,6.651230883569399,0.0054632712349818036,0.01639471528402403,0.010931444049042227
G0003,12.710526315789474,6.860371951608056,0.03488487542916552,0.04650532210392733,0.011620446674761808
G0003,13.473684210526317,7.063323181213903,0.1031006576276372,0.11540901556549699,0.012308357937859782
G0003,14.23684210526316,7.260603653287848,0.06485362756133384,0.07784880885157897,0.012995181290245128
G0003,15.0,7.452663715612022,0.14491990980959102,0.1586008299770736,0.013680920167482569
G0004,0.5,1.3606640101803236,0.0834418151104046,0.08386994121730851,0.0004281261069039033
