galaxy,rmse_base,rmse_scm,delta_rmse,delta_logL,mae_base,mae_scm,delta_mae,seed
G006,11.405063282030275,5.064012482070119,-6.341050799960156,2.0361554416437113,9.634213443534273,3.893487003392875,-5.740726440141398,42
G011,11.307187615583532,4.346938312009808,-6.960249303573724,2.883079836592217,8.516645091097203,3.6869080482100443,-4.829737042887158,42
G014,8.075797743017551,4.102724845343138,-3.973072897674413,1.4372964768671381,6.37074330969279,3.551502439449537,-2.8192408702432528,42
G015,12.851426073761258,4.331290018182569,-8.52013605557869,3.9018791978679332,10.029416680262608,3.334030429505166,-6.695386250757442,42
G016,8.66669451656116,3.8553969335164133,-4.811297583044746,2.0266133516170832,6.790995036483887,3.295619693336279,-3.495375343147608,42
G017,15.655798075505274,5.455715195109842,-10.200082880395431,3.617342975939263,11.48571555543607,4.555063601235547,-6.930651954200522,42
G019,11.051732844533257,3.9004783894673816,-7.151254455065875,3.5141630450293104,9.582441158640579,3.3616636656160126,-6.220777493024567,42
G022,11.622480662289743,5.325124895113887,-6.297355767175856,1.8818152555097336,8.381564649032395,4.69297927866035,-3.688585370372045,42
G023,11.919189966222163,5.319766463798104,-6.599423502424059,2.0100267668566647,9.608045498114489,4.366785922886194,-5.241259575228295,42
G030,9.623250174934746,5.375711218090409,-4.247538956844338,1.1022921165067627,8.111885520778955,4.466532512287568,-3.645353008491387,42
G031,12.870653748939207,5.136862058634687,-7.733791690304519,2.638885044648872,10.508347274805269,4.300495666881442,-6.207851607923827,42
G034,12.919554339227357,4.383044859975581,-8.536509479251777,3.844234286215914,11.197089598027812,3.753958124286419,-7.443131473741394,42
G035,12.96419615226443,4.241226819233642,-8.722969333030788,4.171734928581552,10.568791972873807,3.6157036137496616,-6.953088359124146,42
G036,13.466125272067218,5.026933955175978,-8.43919131689124,3.087971180859863,10.455761235528993,4.235971838808238,-6.2197893967207545,42
G039,11.274683122595771,3.9760844369218127,-7.298598685673959,3.5203836368792567,9.913634186138564,3.1542659881934894,-6.759368197945075,42
G040,10.766497243700668,4.285560682782022,-6.480936560918646,2.655757139398587,8.35909487494267,3.5457210819896945,-4.813373792952976,42
G041,12.142484700671151,4.510436331868968,-7.632048368802183,3.1236648274440273,10.307878572174303,3.5974213886468105,-6.710457183527493,42
G043,10.192772570437842,4.070967357159599,-6.121805213278243,2.6344361844754904,7.785710991414926,3.4005356353352,-4.385175356079726,42
G044,11.648736439413954,4.779001030499684,-6.86973540891427,2.4706630497523454,9.708321969663654,3.9311188971802125,-5.777203072483442,42
G047,10.749070894165198,4.003964476950434,-6.745106417214765,3.1035572593095755,8.841133274369673,3.031413734848377,-5.809719539521296,42
G049,13.813325972499385,5.781432468815452,-8.031893503683932,2.354273669725163,10.495839256444786,4.348273654116754,-6.147565602328031,42
G053,14.142491642878122,4.709712215635862,-9.43277942724226,4.008510907032633,11.456722297997667,3.798265987870033,-7.658456310127633,42
G057,8.78814095120888,4.059973804327185,-4.728167146881696,1.8427048097276508,7.310462777069601,3.2939280206518347,-4.016534756417766,42
G058,10.272482426546398,4.239289902017703,-6.033192524528696,2.4358548836293394,8.633390141296982,3.3215579135608295,-5.3118322277361525,42
G060,12.56963409314192,2.8572697745775018,-9.712364318564418,9.176377010916312,10.843824798215556,2.470725584934597,-8.373099213280959,42
G061,12.030320181104283,4.331538608627391,-7.698781572476892,3.356914369359124,9.054823420086839,3.627927522394478,-5.426895897692361,42
G064,11.742983795745765,4.984338793344848,-6.758645002400917,2.275312034255283,9.745315199406425,4.4316123698358,-5.313702829570626,42
G069,13.23724548350429,4.656218128615456,-8.581027354888835,3.541090860664564,11.353271441466665,3.667739117934451,-7.685532323532215,42
G076,11.805573253975389,3.9526907855862836,-7.852882468389105,3.96024261094672,9.443647156376882,3.289991439269856,-6.153655717107025,42
G077,11.88557480353069,4.364580521758529,-7.52099428177216,3.2078773785912524,9.735437850860631,3.494977706022044,-6.240460144838587,42
G097,13.451494317704174,4.7369528508298995,-8.714541466874275,3.531929645357795,10.822072120168754,3.591690962689431,-7.230381157479322,42
G102,14.550579684918048,4.021354682399375,-10.529225002518674,6.046148253611348,11.51495716622255,3.077281854051974,-8.437675312170576,42
G105,10.413478376469564,4.299785153721094,-6.113693222748471,2.4327033263732676,9.047853507504744,3.366673012478951,-5.681180495025793,42
G109,13.706807428636884,3.991199055972515,-9.715608372664368,5.39706412666748,11.55013174818053,3.39316510110129,-8.156966647079239,42
G110,12.335942405678406,3.9243061909415595,-8.411636214736847,4.440704723078561,11.02652094341196,3.142139212064433,-7.884381731347527,42
G113,11.242214123089488,5.421905947830252,-5.820308175259235,1.6496598763887138,9.586851185796174,4.235064399678867,-5.351786786117307,42
G129,11.539362204264828,4.222429129571907,-7.316933074692921,3.2342971851267515,8.798543701288676,3.1702801744982905,-5.628263526790385,42
G134,12.800488332860427,3.4224772197689304,-9.378011113091496,6.494262831967118,10.806326908058852,2.8597693647543236,-7.946557543304528,42
G136,16.107867054641734,5.152555948042572,-10.955311106599162,4.386530851036204,13.267349363617148,4.467630069865594,-8.799719293751554,42
G137,12.538885623452051,5.63646906755815,-6.902416555893901,1.974421212735801,9.505701184867345,4.8944622954650345,-4.61123888940231,42
G139,10.13359733757418,3.69035646804793,-6.4432408695262495,3.270167574578444,8.830749939433066,3.025186027823562,-5.805563911609504,42
G140,13.132804122670464,3.508072852842567,-9.624731269827898,6.507251901949716,10.251652752346196,2.849744827872378,-7.401907924473818,42
G141,13.021075201464605,3.556447570337794,-9.464627631126811,6.2024082451243965,11.15048572425176,3.1220295133523974,-8.028456210899364,42
G146,12.505953443064232,3.9513054553321307,-8.554647987732102,4.5086699134704515,10.507874273013565,3.1120897415662085,-7.395784531447356,42
G147,12.953296359273049,4.742851290409508,-8.21044506886354,3.229508424718533,10.737800327625127,3.825297374129087,-6.912502953496039,42
G148,13.73382187236609,4.9252681108583065,-8.808553761507783,3.3877029277990722,10.790845503551761,4.017057486640887,-6.773788016910874,42
G151,9.396277629506514,3.6461299342936364,-5.750147695212878,2.8206064144017162,7.667056293338339,3.0838076484042487,-4.58324864493409,42
G159,11.650992292317486,4.5081888920264594,-7.142803400291027,2.8395782587932623,10.003485126932151,3.6038978302903857,-6.399587296641766,42
G160,9.572354740736264,5.654274258587836,-3.9180804821484285,0.9330252204835323,7.561294630020093,4.736843329190049,-2.8244513008300443,42
G161,10.13018186582915,5.184819388497761,-4.945362477331388,1.4086980240063074,7.8231955915625475,4.3137925484941615,-3.509403043068386,42
G162,12.26693259173631,3.821591216709773,-8.445341375026537,4.651734838556096,9.588249965733096,2.79015701382648,-6.798092951906616,42
G163,8.374076332851166,3.6678169355126946,-4.706259397338471,2.1063247735130624,7.599182017235973,3.0975903961149265,-4.501591621121047,42
G171,13.37941122447424,6.7256498910746485,-6.653761333399591,1.4786796934861166,10.530110829414715,5.385218094854688,-5.1448927345600275,42
G000,9.038533445041068,4.758156981575286,-4.280376463465782,1.3042155046061747,7.5195641060075555,4.06637561665544,-3.453188489352115,43
G004,14.510918680144313,5.293541909415501,-9.217376770728812,3.2572241867750344,11.232971400989973,4.095039528433347,-7.137931872556626,43
G009,9.3616041032509,4.741907060865377,-4.619697042385522,1.4487874361392425,7.939977693065293,3.8362321860228867,-4.103745507042406,43
G011,11.307187615583532,4.346938312009808,-6.960249303573724,2.883079836592217,8.516645091097203,3.6869080482100443,-4.829737042887158,43
G015,12.851426073761258,4.331290018182569,-8.52013605557869,3.9018791978679332,10.029416680262608,3.334030429505166,-6.695386250757442,43
G019,11.051732844533257,3.9004783894673816,-7.151254455065875,3.5141630450293104,9.582441158640579,3.3616636656160126,-6.220777493024567,43
