# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.4581  66.2940
0.6678  77.5286
0.8437  83.6714
1.1177  97.7187
1.3146  107.2916
1.5472  109.9259
1.6302  112.1822
1.9043  116.8477
1.9256  126.1404
2.0524  130.0213
3.1497  149.6475
3.5094  158.6147
3.5723  155.0917
3.5892  156.8410
4.1453  163.2707
4.1991  161.8968
4.5891  163.7844
5.0555  181.8044
5.3622  170.9951
5.4232  170.4006
5.7550  178.3468
5.9153  178.5378
6.2688  172.5187
6.2895  185.2820
7.3513  184.7882
7.7691  181.5046
7.7753  193.0284
8.0377  191.2443
8.1908  182.3631
8.9510  200.0897
9.9720  197.1924
10.0060  193.9258
10.4581  202.9071
11.2372  197.1997
