# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.1991  153.6468
1.2047  154.6478
1.2498  147.6200
1.4365  164.6328
1.4558  160.6264
1.5252  171.1093
2.0196  178.2605
2.3526  185.9468
2.5873  177.6535
2.8189  182.9509
3.0842  180.5335
3.1910  183.8832
3.3733  194.6714
3.6015  196.9012
3.6514  183.9275
3.6678  187.4421
3.9299  190.2820
4.2047  194.3690
4.3890  183.0717
4.7512  184.5298
4.8763  195.1824
4.8925  183.0122
4.9040  190.5395
4.9301  193.6203
5.6019  195.5955
5.7349  192.9076
6.3097  192.1096
6.4642  198.2248
6.4745  195.4319
6.5903  190.8130
6.8550  194.3192
7.4930  196.1848
