# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.0047  160.4615
2.2638  210.2870
2.4319  215.4353
5.2607  255.7123
6.2635  253.3145
7.3836  271.5148
7.8744  266.2050
8.3027  274.5541
8.5184  267.1948
8.7282  277.4125
9.8195  275.0560
10.9770  275.9150
11.2078  286.4520
11.5578  284.8817
12.3999  282.2822
12.7039  293.1444
12.9056  284.0227
12.9286  286.4242
13.2080  288.0508
13.4050  283.9049
13.6788  289.7521
13.7591  284.8401
15.2185  287.1790
15.8472  296.6502
16.8778  285.4656
16.9915  278.6861
17.1309  298.9022
17.1979  303.6399
17.2456  288.8992
17.2621  281.2525
