# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
3.4665  118.0437
4.2259  133.7278
5.5224  140.0404
6.2235  148.1093
10.1327  157.6880
10.1441  159.7056
10.3948  160.0114
11.2965  158.4469
11.9728  167.2429
12.3027  167.7598
12.4876  167.7833
12.8293  173.0390
13.5298  173.5989
14.1285  165.2291
14.4588  169.3478
15.4354  165.3535
15.5877  168.7265
17.2972  166.9150
17.7121  178.2717
18.2278  172.2828
18.3682  169.4491
19.7116  177.1324
20.4966  160.6095
25.0168  162.4664
26.8549  176.7512
28.7136  173.2427
28.8979  174.2063
30.0661  166.3990
30.3037  172.9285
