# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.5021  81.7845
1.9732  119.2627
2.5749  134.7566
3.2951  148.0628
3.5877  144.7648
5.3888  175.0659
6.3257  172.2800
9.3324  186.3714
9.9184  185.5165
10.1440  191.4134
10.6626  179.5324
11.1696  171.8515
12.8143  185.6956
13.4314  191.7496
16.0646  193.2115
17.0220  194.8101
18.5479  201.3511
19.3648  197.2546
20.4343  200.0273
20.6534  191.4641
22.4610  191.6169
23.3393  205.5421
23.4355  198.0148
23.5993  194.4590
24.6316  194.8460
25.3247  194.9335
26.4615  194.9634
28.6422  192.6016
29.6164  191.6998
29.8803  198.2729
30.5568  196.3945
31.6123  205.0500
32.8804  201.1399
34.5582  201.1764
36.0827  196.2638
40.2044  199.6200
42.0605  202.1047
42.6421  203.9007
42.7413  199.8535
43.1082  205.7302
45.7409  200.4440
