# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.3463  74.9456
2.7105  191.2276
4.1946  230.5391
7.6180  262.9565
7.9439  284.5379
8.3701  275.5073
8.4985  276.4353
8.5533  277.5338
8.6462  284.9238
9.6028  285.3409
10.6100  278.4096
10.6163  293.4809
10.8088  285.6154
10.8333  287.9625
11.2808  282.8928
11.6869  293.4761
12.9258  291.6506
13.3661  296.6364
13.4642  294.9752
13.6848  306.5880
14.2276  308.1736
14.2947  298.6466
14.4547  299.0878
15.5384  299.0389
15.7317  306.7742
15.9484  299.9644
16.2777  300.0293
17.2686  308.4344
17.6991  301.3849
18.3459  304.6158
