# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.7464  86.6741
2.1147  90.0598
6.0699  148.9936
6.3871  148.3338
7.8817  159.8246
8.7414  160.4114
8.9817  159.0859
9.6195  171.4874
10.2548  176.5697
11.4017  175.4641
12.3500  185.7712
12.5660  187.0685
13.3115  178.8022
14.3316  188.4209
16.2002  200.2859
16.2520  200.3143
16.5411  193.3187
16.8371  200.5794
17.1202  205.5462
18.4512  207.0881
18.5419  202.8997
21.1683  205.3401
22.0182  205.6691
23.3260  212.7007
23.6897  211.7277
23.7890  214.0030
25.0077  212.6991
26.9270  217.6969
28.5369  215.1508
31.7157  220.2313
31.9589  220.7645
33.3706  212.9312
33.5208  207.9660
33.6682  224.7753
35.0816  218.7911
37.8671  209.6404
39.9936  215.0533
40.1264  222.5043
40.3152  217.2780
42.2035  216.3972
43.9175  226.1710
45.5110  214.0922
45.7620  215.3609
46.5199  220.4744
