# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.4082  65.0742
1.6993  101.3030
2.4176  122.2978
3.5925  135.0276
4.3013  148.6065
4.9799  136.8551
5.2954  145.6840
5.6074  146.9323
5.6986  140.0019
5.8118  155.9328
6.1594  151.5072
8.4177  167.9192
8.5435  176.5262
9.8934  167.7571
9.9831  167.6992
10.0125  170.4896
10.3077  175.7266
11.0578  170.0447
13.2775  174.6288
13.6428  183.7275
13.7023  180.4385
13.7118  168.3382
14.0973  173.0839
14.2489  186.9621
14.3775  181.6691
15.6290  177.6382
16.5716  181.7424
16.9018  183.0258
17.2950  187.0510
17.4485  176.7357
19.4653  181.0677
19.5467  186.6976
20.2437  185.3231
20.3657  188.7623
21.4755  180.4296
21.6918  188.4823
