# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
2.1651  146.0497
2.2672  141.7770
2.8316  162.7076
4.5605  191.5063
6.1028  210.4863
7.0414  223.7844
7.5098  236.7410
8.3419  245.4656
8.8253  239.7668
9.2669  243.9767
9.6729  251.8462
12.8770  263.7214
21.6005  303.5812
23.7359  306.8767
26.8890  314.6498
28.7067  311.7819
28.9280  308.3231
29.5646  306.8019
29.8617  311.9832
32.7283  318.7256
33.2605  320.1137
33.2756  331.2815
34.4237  328.2585
34.9146  318.3731
36.1650  326.0074
36.7212  322.6841
39.2248  325.1076
39.8357  327.8483
41.3693  330.9267
45.8230  328.2552
45.8313  335.2740
