# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.3486  60.9520
1.1832  96.0423
1.7505  122.0154
2.4009  138.3875
2.9841  159.1753
4.5153  166.7933
7.2853  196.2337
7.8183  198.7286
8.4927  207.3392
8.7574  209.9009
9.7517  213.6309
10.8962  225.2221
11.2117  218.1825
14.6505  239.0658
15.0079  237.8871
15.2966  235.9591
16.7153  238.1246
19.7916  258.0677
20.1565  242.4594
20.6087  248.7577
20.6650  243.6045
21.8845  258.0582
21.9297  253.6257
23.2679  247.4923
26.1017  256.3356
29.5092  257.5807
29.7967  253.8842
