# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.4505  48.4017
0.8720  73.6138
1.4443  91.7162
1.4652  95.4291
1.6238  90.7544
2.0202  100.2843
2.3022  105.5686
2.3557  112.8836
2.7233  122.4854
2.8240  114.2005
2.8497  114.7445
3.0465  121.1692
3.0708  118.6919
3.2120  126.4921
3.2237  110.6175
3.4118  119.9912
3.6416  122.7441
3.7742  116.4158
3.8802  124.2383
4.1604  127.0357
4.5320  133.6082
4.8099  142.1703
4.9062  136.0253
5.1959  133.9067
5.3311  139.5586
5.3691  145.3029
5.7041  136.9384
5.8650  138.0407
6.2691  147.1511
6.4118  143.8173
6.6220  148.9475
6.7041  145.9336
7.1765  151.0377
7.7461  143.8972
7.9393  149.4715
8.0421  148.7110
8.0952  143.8019
8.4691  142.8314
8.7959  154.6737
8.8058  149.5072
