# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.6925  127.7715
1.1551  140.8284
1.2301  147.6661
1.3971  158.8595
1.4424  160.0536
1.4424  154.4121
1.7694  154.0839
2.5897  190.9872
2.7806  181.5112
3.1142  206.6222
3.5735  208.0919
3.7526  215.0302
4.1780  211.5237
5.0596  218.4542
6.4064  238.8141
6.5247  238.1477
7.3428  240.7771
7.3783  243.8484
8.1921  261.1752
8.3780  252.2948
8.5283  253.9774
8.5723  253.1230
9.3590  259.0976
9.6808  251.7439
9.7782  242.7060
9.8905  252.3577
11.2912  260.6954
11.6968  252.5587
12.2583  257.4754
12.3267  255.0054
13.4443  267.4964
13.9605  264.3099
14.0256  263.8882
14.1053  263.8201
14.4044  260.8184
14.5517  262.1291
14.6457  255.3001
14.9448  250.5511
16.5920  263.3657
16.6426  264.2635
