# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.6053  57.9480
1.6837  90.6219
1.7126  83.5602
1.9900  94.5858
2.0317  96.5630
2.3183  102.5555
2.3886  106.3337
3.6244  133.8024
5.5786  154.2802
6.9607  157.7889
8.0098  174.0329
8.7240  178.6047
9.2162  174.4002
9.4544  184.0713
12.6539  194.2558
12.6697  188.0697
12.9010  198.2844
13.2329  198.3272
13.3050  196.3661
16.6420  207.3780
17.8574  206.8086
18.0818  213.9393
18.1436  210.8028
18.3452  212.2753
18.7141  213.9794
19.1404  207.2525
19.4358  209.1087
19.9347  203.4288
21.1194  219.2572
21.1736  210.4561
21.1888  217.2035
21.8772  219.4183
22.8720  221.9304
24.8364  215.2017
