# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.4899  145.8991
0.9714  184.3763
1.0202  174.1075
1.0910  180.0741
1.1729  187.3665
1.5151  197.0030
1.6195  207.1659
1.8485  209.0402
2.7407  223.9304
3.9384  244.0042
5.4814  254.7200
5.5566  258.8849
6.9796  260.9905
7.0033  261.3890
7.1199  260.9649
7.1805  258.5628
7.6000  256.8053
8.0004  262.5441
9.6676  261.4304
9.7817  271.6391
9.9158  270.0061
9.9525  266.4872
10.5950  265.6423
10.7904  263.4199
10.9752  257.6503
10.9941  262.8845
11.4495  264.6801
11.5575  265.3644
11.5973  266.5806
12.5865  269.1614
