# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.8481  116.6217
2.0186  118.3992
2.2795  115.9363
3.6062  154.8572
3.9535  165.5537
4.6404  169.2378
4.9723  175.6441
5.1484  171.0958
5.5895  167.4636
6.7570  178.2291
8.9956  205.5982
9.0853  201.9219
10.8058  209.6812
12.7792  222.1490
12.9964  226.3112
14.1152  219.5903
14.5216  225.7924
15.2162  237.4613
15.9011  226.2191
16.2162  236.6683
22.0678  239.0568
22.2755  244.4231
22.5696  247.4738
22.8233  245.9375
24.8677  248.4778
25.7730  238.7963
25.9206  250.2173
26.3397  240.6452
27.6961  246.9577
29.7213  247.8578
29.8563  249.0447
30.9148  248.6863
32.3646  243.2299
32.7333  240.8009
33.0008  251.9826
35.4644  249.0997
37.2376  254.2200
37.3341  248.2640
38.0623  241.5666
40.8082  253.7421
44.1301  247.3240
44.5050  250.9093
45.0429  245.9939
