# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.9039  28.9297
2.8501  45.5793
3.7432  43.4529
3.8123  53.6480
4.2302  55.5242
5.1924  61.1811
6.1694  76.0088
6.8957  69.0543
7.4752  85.4843
8.9490  80.8585
9.2628  76.9060
9.2919  83.7594
9.5115  78.9118
10.1745  83.0735
10.7660  90.9313
11.1102  92.8923
12.3533  90.8807
16.9313  109.5497
17.3955  111.2251
17.8931  113.4615
18.8342  110.4099
19.5568  115.6279
19.9308  99.9204
22.1981  110.4732
23.4679  109.0152
27.0534  116.8297
27.4546  113.6411
30.3303  117.2931
31.4279  128.0461
31.5814  117.8540
32.3131  121.0791
34.1365  118.5281
34.2039  120.0909
34.3614  119.7954
35.1792  122.2695
35.2574  125.8785
