# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.6473  108.4532
1.3279  159.7035
1.4261  168.0019
2.1113  205.1471
4.0437  256.9966
4.1562  265.0871
5.6178  289.9568
6.0902  295.2687
7.1927  306.5025
7.7313  299.7059
7.7683  307.5860
8.3973  306.5443
8.5996  302.6134
9.1106  312.3751
9.3951  321.9260
9.5766  318.5034
12.2714  335.8584
12.3510  326.8546
13.1829  340.0773
13.2740  328.9090
13.4381  328.4541
15.2381  324.7506
15.7241  337.2752
16.3220  329.8347
16.3504  329.1376
16.3736  338.8012
17.0070  338.7506
18.4822  339.6513
18.8936  332.4099
19.5293  334.2804
20.2072  334.5237
23.6141  339.6574
24.2497  343.6174
