# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.9539  120.1588
4.2326  195.6667
5.7711  215.0934
6.1331  224.2457
6.6013  224.6124
7.3434  220.6417
8.6188  237.7336
9.6720  233.3978
10.0787  247.3233
10.2175  245.8448
10.5212  243.1425
10.6100  242.7510
12.9213  246.4923
13.8945  252.5966
14.0946  247.6541
15.9251  252.9693
16.5826  256.7888
16.6372  249.6694
17.2165  249.8894
17.4236  247.1611
17.6336  247.9689
19.9795  245.5379
20.0523  258.3628
23.4570  264.9031
23.7712  263.0575
24.9800  248.0410
26.0430  259.9654
26.5896  263.5262
26.8817  254.1684
28.3078  257.1120
29.1370  246.6364
30.7478  258.1190
30.7656  251.4686
30.9095  257.7928
31.0098  248.9941
