# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.9466  51.8086
1.2666  58.4104
3.5479  85.9073
3.8266  87.0703
5.6073  102.2947
6.6714  108.8813
9.4951  119.1143
9.6872  114.6039
11.6503  126.8392
13.7785  124.9207
14.7843  128.4085
17.5349  129.7885
20.6899  132.0511
22.0806  127.9340
23.6376  135.8587
27.2310  147.8184
27.4044  131.7648
29.2742  134.4390
29.5362  131.9075
31.7592  132.0956
32.6033  142.3822
33.1870  131.3738
35.0002  132.5791
38.8077  127.3270
39.0203  131.4900
40.1510  126.8027
40.2177  138.5073
