# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
2.0539  33.7140
3.5888  49.3673
5.4394  59.3123
5.6108  66.9364
6.1090  72.5385
6.2078  61.4804
7.1156  74.0631
8.3122  78.0491
8.4143  81.2664
9.2683  82.7345
9.8145  77.4397
10.7314  81.3420
12.4573  92.5922
12.4942  97.6817
17.0126  90.4996
17.1591  103.5273
18.6512  109.8891
20.9222  105.8824
24.3023  112.4601
24.8769  106.6216
25.5468  110.0099
25.6222  102.5532
25.9619  99.1614
26.7209  116.0746
27.2350  106.7403
27.9429  109.7830
28.7153  105.5306
29.0328  105.5699
30.4109  112.3795
