# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.7607  67.2231
2.0209  72.3591
4.9001  117.9552
5.4595  122.7249
6.3018  134.6045
7.3039  145.7083
13.2917  185.9520
14.2855  183.4526
14.4350  184.0658
14.9185  195.9574
14.9796  183.2560
15.4160  184.2116
15.6860  185.9620
16.1350  178.4288
17.7523  184.4622
21.6586  189.4215
22.3200  195.8266
22.6535  192.0165
23.4434  194.2323
25.2134  200.2029
26.3044  199.6967
26.5033  194.6746
26.8059  192.2835
29.0714  202.2518
29.9403  200.7334
30.1592  188.9000
30.4283  195.4454
31.1439  198.0371
34.6904  201.8390
35.6537  202.6393
36.8202  199.6585
