# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.3689  40.0654
2.2625  52.0288
2.8210  58.0453
5.7712  95.6584
8.0216  112.1509
8.3520  125.0694
8.5129  117.9798
10.3241  139.7346
10.5906  133.9156
13.8056  147.7578
13.9176  151.3533
14.1091  141.2254
14.3478  154.7957
14.6847  155.9993
16.4115  167.7796
17.3815  157.6299
19.6259  179.7643
20.5363  180.5078
20.9034  183.6022
21.4219  178.3544
24.0288  189.3465
24.2089  177.2692
26.2041  191.7313
26.2862  184.4440
26.3479  180.1429
26.7061  183.3504
28.4975  191.6219
28.9983  188.1415
29.1040  194.2811
29.4896  183.8526
30.4663  183.4414
32.6190  203.2450
35.6188  203.5281
35.8765  193.9606
36.2439  199.4677
38.9990  206.4119
39.1141  203.4786
39.5246  202.3623
40.7034  207.7409
43.2758  199.8274
43.7304  203.8275
44.1830  203.7656
46.0833  203.1937
46.9385  202.8925
