# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.8766  182.4140
2.3853  200.0809
2.6366  218.1245
3.9084  236.2118
5.0301  248.9118
6.1538  267.5636
6.2524  264.7082
6.6504  268.4121
7.2888  279.3812
7.3838  270.5498
10.2320  286.8401
10.3137  292.4512
11.4332  300.3535
12.4577  304.5333
12.4990  295.1202
14.1198  306.5913
15.9644  300.8224
16.8637  314.9411
16.9694  300.2553
20.1831  315.1579
23.5122  306.7095
23.7709  320.1397
24.3932  313.2113
25.0127  305.3357
25.5841  307.9380
26.4217  314.6274
26.7759  316.0501
27.2792  310.5192
28.2313  311.2387
28.8143  314.8832
30.6531  311.9439
31.2422  304.8669
33.3727  307.4107
34.9451  312.7256
36.8561  317.6935
