# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.1825  65.6855
2.0234  87.0445
2.3267  101.6311
2.7759  95.9501
3.0270  95.1196
3.1268  98.6491
3.2391  100.9779
3.2727  100.0505
3.2873  100.7742
3.8608  98.0029
4.7694  105.3462
4.9243  110.0808
5.0931  110.6814
5.4734  110.0451
5.7487  112.8560
5.7632  114.0891
6.0471  119.0222
6.3888  114.9176
6.6475  117.9715
6.8809  113.7272
7.0276  119.5632
7.3690  119.1463
7.3972  121.6400
7.4244  120.9196
7.6777  120.6600
7.9506  117.5775
8.0263  119.3855
8.2967  123.7834
8.4987  115.4130
8.6665  115.6915
8.6871  119.7596
8.7602  120.9949
9.0903  115.0734
9.5105  119.1228
