# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.5666  29.3603
1.4160  55.2207
2.4113  73.3584
4.4474  113.7164
5.3607  119.5705
5.3623  121.9972
7.5391  143.7328
8.0705  147.3152
8.7714  152.8903
10.4895  158.1605
10.7409  157.6739
10.9316  160.2253
11.3066  153.7570
11.6114  156.1690
14.3313  165.4448
15.0936  168.9285
16.1144  178.0926
16.9182  173.0656
17.3593  176.4526
20.3462  188.8255
20.4712  180.6800
20.5500  186.2308
20.7683  178.0974
20.8952  181.8642
23.2844  180.1277
24.2693  183.8216
24.3561  189.7704
24.3755  176.9439
24.5042  187.8284
25.0145  187.1321
25.8354  183.3926
28.0021  180.0302
28.5717  187.8141
28.6865  184.8430
28.7961  188.6886
29.4421  187.8288
30.4377  195.9947
31.2034  186.9695
