# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
4.5125  202.4957
6.4891  226.6455
6.5067  236.9952
7.1646  250.2053
7.6345  250.9538
7.8256  255.8031
8.1310  265.6794
8.4243  270.1164
8.9438  265.8734
13.1927  296.8953
13.2862  295.4753
13.8032  307.6981
13.9150  296.5191
14.3426  304.1898
15.5952  311.3361
16.1191  310.2739
18.6578  321.8329
19.1095  334.3423
19.2851  321.3150
19.9117  321.1033
19.9737  328.4846
20.2123  325.0867
20.5474  331.7330
20.6262  325.5074
20.8432  323.8400
21.2255  316.8351
22.6608  319.8680
23.3535  319.7019
23.8034  331.3232
23.8303  322.6469
25.3592  337.3410
