# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
4.5773  116.2264
5.5898  113.9478
7.5640  133.0536
7.6494  132.3914
7.8458  135.1329
8.0891  141.4660
9.1700  145.7412
10.1392  143.8232
11.4137  153.6253
12.3245  163.8369
16.5179  164.8095
17.1170  171.1403
18.5182  172.5643
18.5442  173.2696
19.6994  167.7389
20.8726  185.0801
21.3261  174.9275
22.8973  186.4060
23.8239  179.4943
24.3454  180.1794
24.6465  189.7675
24.8091  188.8809
25.4000  185.6952
25.8820  189.0375
28.1704  186.2759
29.0623  188.5381
29.1947  185.3950
33.6004  196.7154
33.6600  188.7681
34.3045  200.0838
34.4456  191.1688
34.6568  192.9836
35.0765  196.9333
36.2194  193.9255
41.0169  194.5988
41.0454  195.9496
41.1453  200.6086
41.9455  193.1344
42.3204  195.9565
42.6945  196.7744
43.8877  201.4545
46.1229  197.3132
46.3915  206.9290
