# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
4.5826  75.6972
4.9715  78.6163
8.6390  106.0551
9.2712  111.7272
9.4535  110.6121
11.1196  115.8475
12.5607  130.3694
12.9635  131.8416
13.3820  140.5518
13.8614  130.2018
15.5764  139.7141
15.7907  140.3180
16.8762  139.9258
16.8944  144.9550
17.9413  147.1767
19.1590  147.0392
19.1945  144.1807
22.4131  147.9478
23.4028  143.9176
25.0770  148.2057
26.3195  150.0500
28.6695  148.9619
28.8988  156.9004
29.5424  161.0014
29.6399  150.5241
31.5574  157.2891
32.2295  150.9444
33.0912  154.8755
