# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.6739  100.0761
2.0164  118.9421
3.1434  146.4723
3.4016  142.9701
4.5777  154.3896
5.2109  159.5541
5.6588  161.2977
5.8169  177.8345
5.8647  167.0244
7.4300  190.8492
8.6603  194.8967
9.3569  182.9513
10.4780  193.5632
10.7517  194.7011
10.8484  198.0438
11.9817  202.4078
12.0847  218.0458
13.5396  202.1925
13.8461  209.5657
16.2476  217.0416
16.4611  214.3644
16.9312  215.7939
18.2767  212.2396
20.1795  220.5551
20.5030  222.9571
21.0646  222.6583
21.1956  224.0098
21.9826  229.0083
22.5095  227.1153
23.0022  223.2131
23.0950  217.0753
24.0474  220.6795
24.3277  222.7847
24.4764  225.2496
24.4923  221.6074
24.7643  219.5073
25.6287  218.7995
26.7165  217.1044
26.7511  224.2039
27.5403  218.4297
