# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.4513  109.0939
1.8807  120.4774
1.9099  111.2911
2.5742  138.4444
2.8171  142.1829
3.2055  162.5726
4.0629  160.7132
4.9448  173.5507
5.0486  187.4828
5.8533  196.7657
7.8653  200.1910
9.7848  208.7496
10.5555  217.2614
11.5936  204.9908
11.7282  207.5941
12.6789  217.1918
12.9089  226.6989
12.9558  216.8407
13.7096  220.5428
13.9773  226.0261
14.0292  230.9511
14.0523  217.5586
14.0839  220.3943
14.9575  230.4733
15.1187  213.8956
15.3514  226.8422
15.7218  216.9053
15.8862  222.6310
16.5315  221.3389
16.6588  217.8397
17.1533  217.9947
17.1970  224.3156
17.3257  227.9781
18.0394  222.6875
18.0682  223.6991
18.2553  226.2827
18.8399  218.7919
19.7304  227.6333
21.4215  228.4298
22.1531  237.4793
22.7516  222.6698
23.7063  222.3781
