# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.4409  97.8733
0.4618  107.8648
0.6721  140.1052
0.8212  154.3378
0.8227  161.1586
1.1744  202.6099
1.5152  213.2379
1.5160  212.9161
1.5297  214.6041
2.0508  258.1059
2.1380  259.5894
2.7608  278.7797
3.4648  299.0328
3.5229  296.0508
3.5799  305.8040
4.0892  308.7912
4.1778  310.7623
4.3893  318.1252
4.6460  317.3627
5.1211  322.0207
5.1688  323.6737
5.6810  331.5288
6.4871  340.1361
6.5885  335.2559
6.6925  336.7578
6.9423  332.6433
7.2590  331.0854
