# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.3140  60.0192
0.5862  90.6546
0.8116  105.8231
1.2069  115.4296
1.6216  135.3623
1.7725  139.3376
1.9735  154.7649
2.0494  157.1715
2.5863  151.6393
3.3620  186.3635
3.5846  172.6569
3.8247  185.4688
4.1781  189.8738
4.7876  186.6565
4.8316  194.5327
5.6173  198.3614
5.6705  202.0793
5.9681  202.6366
6.0972  208.3528
6.1535  203.1256
6.1595  201.9491
6.3920  209.7643
6.3972  207.2179
6.7652  210.1505
6.7674  203.1814
7.7192  205.9907
7.7723  208.6075
8.1663  209.9461
8.6025  218.5744
9.0776  221.0646
9.6343  216.9905
10.8620  227.7085
11.0067  227.6715
11.1404  222.2918
11.8119  218.0813
13.4456  232.1175
13.5703  224.0606
