# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
3.2211  44.3399
4.0352  57.2333
5.2925  62.7128
5.8666  66.8360
6.1032  72.8442
6.2135  62.2506
6.2806  67.3298
6.7653  71.7038
8.1746  72.9886
8.6378  85.3345
9.1371  84.4104
9.1728  81.4348
9.4017  89.6920
11.2116  78.3785
12.2340  88.2895
12.5632  90.8900
13.1239  85.6679
13.9400  93.3358
14.3642  87.0706
15.3838  97.7678
17.4094  102.4856
17.8352  99.0875
17.9770  88.6329
18.1951  93.3208
18.8396  101.7065
19.5193  99.7046
20.3402  86.9270
23.8368  109.3378
24.0285  103.9296
24.5615  99.4798
25.0022  108.8084
25.3630  100.6490
25.6452  100.7481
26.0734  106.2070
27.0248  113.7859
27.1562  113.0595
27.3909  106.8468
