# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
6.7441  172.5514
6.8635  161.8696
7.1180  171.1227
10.1734  182.5649
11.6449  192.1504
13.2983  208.3721
14.3564  207.4239
14.7818  202.0269
16.2755  204.6047
16.3177  209.9470
18.1729  208.1616
18.2275  211.0100
18.8105  217.1881
19.0849  221.9786
20.6361  222.2674
22.8757  211.5400
23.6112  225.6252
23.7591  224.6791
25.3841  228.6079
26.2866  235.7439
26.4189  217.5055
26.4498  224.9031
31.1742  235.6061
31.4983  225.0185
31.6408  240.4251
32.1337  235.2898
33.7510  238.9115
34.1927  232.1372
36.1486  240.3423
38.3000  242.8462
38.3234  238.6808
39.4234  239.2524
39.5388  239.4890
41.6934  234.8071
42.1330  238.5711
42.2865  238.6095
45.0001  242.3110
46.5859  245.9129
