# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.8046  142.8203
1.1824  165.8179
1.5088  190.9977
1.5143  185.7750
1.5810  190.6733
1.6977  188.8882
1.7235  205.0142
1.7771  198.9382
1.9597  207.6877
2.0663  200.1356
2.3971  215.2456
2.4499  227.1572
2.8862  234.1549
2.9235  224.0420
3.1427  243.7122
3.3167  239.3427
3.3254  249.2876
3.3396  242.0649
3.4890  246.3081
3.7301  255.2697
3.7965  245.9335
4.0596  249.2993
4.1573  254.5917
4.3770  262.4524
4.6866  255.0857
5.0310  256.6853
5.3148  271.4937
5.3373  264.5341
5.3381  265.5940
5.5696  259.9614
5.6712  266.5390
5.7273  270.2634
5.7341  274.9972
5.8222  267.0459
6.0038  280.2709
6.1738  269.4984
