# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.4520  49.3179
0.7731  71.7569
0.9290  75.4519
0.9889  81.3071
2.2165  122.9327
5.0810  173.2505
5.1145  177.0422
5.7521  195.6511
6.8608  196.3146
9.0739  213.0300
9.9230  220.9797
10.6637  235.6872
11.4819  240.9556
12.3316  245.1395
15.3290  265.6666
16.2056  249.4509
19.5447  274.5069
19.8213  280.9880
20.6414  269.3666
21.2992  274.4559
21.8074  273.5685
22.4789  274.0730
22.8276  277.5086
22.8556  286.3241
22.8991  288.4460
23.4702  278.4999
23.8884  290.3435
25.4752  283.1740
26.0063  292.4145
26.5933  283.8561
27.8329  286.2745
29.0716  288.5821
32.0239  304.8236
33.4519  294.0178
33.6982  286.3563
34.0639  294.9264
34.3402  288.4101
37.6070  289.1306
37.9241  296.2312
37.9738  291.8604
