# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.5613  16.9270
1.7961  21.9131
2.6215  26.7981
3.2996  43.3756
4.9147  47.0447
5.8577  45.6107
7.8254  65.9819
7.9957  74.4648
10.5817  78.4695
12.9382  75.6232
14.6945  80.2351
15.3406  85.7061
17.3178  89.8016
18.5025  83.9903
21.8073  89.3615
22.1903  91.0364
25.1952  94.6363
27.2197  92.4713
28.5051  93.2379
28.9974  100.9871
29.3026  100.2851
30.7690  97.2935
30.9732  103.5888
32.1870  93.5486
32.6559  103.7714
35.6606  99.3489
35.8020  113.0319
