# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
2.0774  52.0266
2.3077  61.7734
2.6296  56.7646
3.2523  69.7048
3.3034  72.1151
3.3519  68.3695
3.6883  76.6999
3.9741  72.3542
4.1624  74.1898
5.3475  77.7976
5.7817  90.0297
6.1401  82.8224
6.2140  88.7411
8.3698  94.5086
8.8101  90.8319
10.5877  97.0805
13.2444  111.0336
13.2602  105.1459
13.5542  99.4243
14.2686  106.7342
14.5261  104.7202
15.2730  123.3658
16.2311  108.2308
16.3234  104.9641
17.9443  114.9070
18.0213  98.6398
19.1622  108.8258
20.4683  118.7957
20.4727  108.2440
20.6866  100.2255
21.1723  107.0554
21.2320  116.3244
21.8213  111.0884
21.9626  105.0488
23.0578  106.0613
23.5532  106.7850
23.5706  111.3927
24.4085  116.4217
25.8138  115.1915
26.2236  112.2587
26.7999  103.3840
28.0463  103.5199
28.7339  112.8804
29.0170  103.5074
