# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.6754  88.5516
1.2941  113.7902
4.6134  199.8612
5.4287  214.1243
5.5686  213.3352
7.3004  232.8318
7.4102  235.1017
7.6834  234.3626
7.9453  243.3335
8.0200  247.6779
8.1886  239.5490
9.1220  251.2550
12.0903  264.1352
12.2930  268.0446
12.4612  274.7597
14.7834  277.7676
15.8586  269.3753
16.1049  281.1431
16.1403  285.1264
16.7727  279.3723
17.5069  287.0654
20.1759  283.3078
21.0603  280.5471
21.5967  289.3524
22.2401  280.6098
23.1557  289.1518
25.4168  298.7149
25.6444  282.8966
26.9092  286.8800
27.2237  288.3039
27.3510  293.2209
27.3785  291.7246
27.8963  300.8343
29.6328  299.4402
30.3548  297.4388
30.8170  295.8651
30.9385  297.1472
