# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.1025  79.6976
2.5345  125.5126
3.3857  152.7312
4.0005  156.1524
4.5360  169.8494
4.8830  181.8100
5.1201  185.6059
5.4344  192.9608
5.9185  205.4461
6.1208  194.5593
6.3791  212.4015
6.5642  210.4509
6.9137  214.6129
9.4220  239.0423
9.4872  249.5794
10.8989  248.0865
10.9995  264.2419
14.9075  279.0716
16.9770  295.9870
17.5427  297.2497
18.1901  305.9499
18.4907  300.1969
18.6429  298.1059
19.6472  302.0346
21.0396  314.5138
21.3994  311.6613
21.8667  308.0774
