# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.3372  60.5524
0.7837  83.2874
1.1064  83.5396
1.2988  97.3794
2.2144  112.5484
2.3765  114.1717
2.7514  126.2010
2.7603  129.3603
3.3133  137.4997
3.7111  139.1407
4.8206  141.0653
5.4363  147.3322
5.4745  149.6282
5.7940  148.2008
5.8104  148.3371
6.6235  155.7781
6.7446  151.8914
7.3487  150.9660
7.6750  153.7160
7.7206  159.1156
7.7836  156.1760
7.8439  158.0650
7.9087  159.9293
8.8598  157.5300
9.9511  165.7835
10.0868  164.1794
10.3214  156.5815
10.4755  170.2636
10.5838  160.7512
10.9208  155.5818
11.9866  160.2834
12.2350  160.7391
12.3835  166.2979
13.0722  165.4897
13.0854  165.1895
13.4693  170.3820
15.0551  170.3789
15.1166  170.3055
15.1357  170.7885
15.1667  171.8429
15.5896  158.5196
16.2099  167.6307
16.2866  158.5972
