# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.5133  34.1876
0.7740  30.1007
0.7797  43.1459
0.8767  39.7233
1.0747  45.0306
1.2056  39.8635
1.2359  48.3016
1.2419  52.2265
1.5207  47.6702
1.6025  58.1883
1.6993  57.6356
1.7214  54.2993
1.9135  64.4484
1.9275  49.3448
2.0722  63.8632
2.3889  73.5765
2.5002  73.7044
2.5311  68.7256
2.9440  68.4391
3.3261  69.0591
3.4649  71.4314
3.4700  75.6896
3.5143  69.1474
3.8644  78.4640
3.8849  85.4208
3.9249  74.5950
4.1231  68.8717
4.2784  69.3549
4.8406  81.3824
5.0308  77.5826
