# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.2091  22.4437
2.3529  26.4658
3.7880  35.5864
8.4861  56.2575
10.8618  58.0023
11.5039  67.5294
12.8252  65.4536
13.2498  80.3370
13.3902  59.9948
14.5329  71.3876
15.6332  66.1986
17.9221  72.0147
18.7279  76.0049
21.2533  65.9073
22.8462  79.9139
24.0308  89.0417
24.7841  77.7303
26.7710  82.4148
28.9378  87.2829
29.5922  81.6216
31.1465  80.1564
32.4667  72.1560
32.8548  86.8704
33.1520  83.1972
34.4285  79.0956
36.7382  85.4217
36.8946  81.9093
36.9855  82.2080
