# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.8437  54.7790
1.4437  51.0206
1.7863  64.8620
2.0422  63.2361
2.1559  62.2858
2.4705  66.2522
2.6783  70.2577
3.2175  79.2336
3.4777  69.0842
4.0572  77.7857
4.1251  75.4021
4.8240  77.8201
5.5679  85.7076
6.3626  84.3080
6.5820  88.5053
7.5569  81.7321
8.3110  79.3832
9.3416  82.0736
9.3637  84.4110
9.6470  84.1478
9.7123  77.8572
10.3626  83.8524
10.8886  84.6164
11.0851  96.0865
11.0959  92.8846
11.1173  79.2366
11.6423  82.1197
12.0662  76.2746
12.3150  80.6560
