# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.8013  107.2448
1.0095  100.2591
1.7467  125.3449
4.2061  158.8836
4.4970  169.5997
4.8722  160.5351
5.2330  162.5546
5.3268  173.1472
5.3326  163.5578
6.0577  172.1536
6.4056  162.3939
6.8148  170.2026
7.2450  163.9287
7.8322  168.2963
8.0724  178.2494
8.1135  173.8824
8.5965  173.3832
8.6484  171.3183
9.3302  174.9325
10.3154  178.6199
11.0270  182.6218
11.1028  164.6371
11.3156  173.7532
11.7173  178.9631
11.8932  177.7754
12.3068  180.5054
12.4249  179.8836
12.4788  177.0471
12.8315  176.0938
12.8457  177.5065
13.3089  184.6579
14.4228  175.5938
14.5874  178.9806
17.1624  180.6392
17.3374  187.5427
