# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.1716  125.3151
1.2184  116.2556
1.5172  139.8823
1.6841  139.6677
1.9157  153.6355
2.4473  158.0619
2.7712  171.3407
4.0195  189.1313
4.2731  195.0553
5.1003  202.3598
5.7855  205.8002
6.7527  205.2680
8.4093  212.4591
8.4926  217.1936
8.7729  220.9282
9.2366  219.2056
9.3156  225.5744
10.2372  223.1040
10.8593  220.7925
10.8618  224.2313
12.9098  229.3343
13.4680  230.3181
13.9275  238.4361
14.0955  225.8174
14.3793  228.9816
15.1136  231.9026
16.0803  230.0986
