# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.7061  37.0201
0.8558  33.4224
2.4033  55.2902
3.0276  67.7748
4.6854  70.4045
4.8298  68.3977
6.1145  77.8620
6.4983  84.1853
6.5799  74.4676
6.8481  86.6765
8.2132  86.1744
10.9216  102.6675
12.0704  87.6001
12.1814  95.8741
12.2025  91.4190
12.9474  97.2164
14.1128  104.6691
14.3908  102.9896
14.9805  103.5356
19.0041  108.8250
19.3634  110.9694
19.9933  105.4596
20.1755  114.1885
21.3444  114.8715
23.0429  114.6039
24.5588  116.2984
26.3293  115.8146
27.0009  124.7786
28.4122  114.6764
29.5255  113.9263
30.5765  111.9879
31.6100  110.8524
31.9556  109.8715
31.9964  111.6591
32.0603  115.7641
32.1709  117.8138
32.7218  116.5170
33.8519  112.6567
35.1636  121.2126
36.5782  120.6207
37.7404  116.2771
37.7854  113.8163
37.9801  119.8465
