# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.6723  51.3837
2.8514  140.5040
4.5573  177.6668
5.0293  181.5959
5.0742  181.2242
5.7011  191.7548
6.4945  202.5628
7.2826  211.9435
9.8183  233.7225
10.6644  241.4512
10.7368  244.3922
11.8014  240.3262
13.9697  250.3724
14.2234  247.7557
14.5388  261.8659
14.6325  259.0831
15.0131  261.5206
15.1549  252.2616
20.8513  279.1106
23.0082  269.2529
23.9213  273.8353
24.6741  277.7694
25.9244  269.2762
27.1457  272.0524
27.5401  275.8424
28.9156  289.7274
30.7291  277.4518
31.7693  284.2091
