# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.4795  52.9614
0.5416  62.4984
0.6023  71.5830
0.6445  71.9551
0.8684  78.5302
1.1359  100.1236
1.3093  104.9675
1.3165  114.8530
1.4670  109.1853
1.5196  117.9591
1.7319  111.8748
1.7930  114.6479
1.9772  127.7438
2.0598  131.3201
2.1634  123.1826
2.3580  131.5803
2.3667  124.6957
2.6283  134.6599
3.3506  147.5599
3.3507  141.2014
3.4918  143.2496
3.7380  140.5546
3.7874  143.2712
3.8219  155.5133
4.1042  148.6310
4.2119  143.7697
4.2915  147.5644
4.3030  141.2012
4.7279  145.7147
5.0909  158.6309
5.2064  151.3984
5.2746  161.7208
5.3508  151.9569
5.4137  152.3846
5.6468  156.2087
6.0506  140.2571
6.3669  155.0227
6.5755  153.9617
6.8882  161.8996
7.0473  159.4068
7.0956  148.9472
