# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.3880  70.4524
0.4170  81.6808
0.9869  133.2232
1.1480  138.4115
1.3354  145.6683
1.3720  151.0541
1.4587  152.0368
1.5277  158.4282
1.8274  167.4862
1.9095  173.0696
1.9523  168.5482
2.0737  174.7748
2.3870  176.7045
2.5695  179.2950
2.7119  193.7426
2.9133  190.0516
2.9643  193.8872
2.9786  190.7263
3.2802  191.9711
3.4025  196.7065
3.5843  206.2438
3.9009  205.5636
3.9189  194.4259
4.0454  203.2316
4.0800  213.5679
4.1950  204.7064
4.2993  197.7374
4.4576  217.5796
4.7028  213.4657
4.7455  210.0192
4.7819  208.7764
4.8382  216.4450
4.8602  208.4771
5.2023  219.1252
5.8481  219.4142
6.1862  219.3140
6.2398  219.0195
6.7073  218.9817
6.7763  225.2891
6.7850  215.7596
6.9528  212.4466
6.9761  223.6911
7.1021  224.1021
7.1862  223.5554
