# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
3.1886  153.2357
4.0278  167.6347
6.4263  199.9357
7.0286  213.4549
8.1083  229.2132
9.8975  242.5746
11.8390  255.3034
11.9114  250.9497
13.1729  266.7713
13.8639  250.4535
14.4627  270.9938
16.1578  289.3498
20.1686  281.9969
20.5502  289.3122
20.6182  290.6503
21.5495  290.5990
25.5675  305.6051
26.2471  303.7830
26.5593  302.6183
26.8576  306.2474
27.2137  302.8121
28.0106  319.6154
28.1800  304.6729
30.9223  307.7082
30.9985  298.2473
32.9987  305.6958
