# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.4047  64.5641
2.3557  91.8886
3.8738  101.9089
4.1553  111.8229
5.2424  117.9332
6.0030  116.6593
7.5881  131.6411
7.6274  135.2619
8.2928  139.9409
8.9611  139.3357
9.4104  149.6801
9.4772  147.3442
11.0007  146.9358
11.1143  152.3692
12.3155  162.2102
15.5916  170.7600
16.6312  156.9407
16.6962  158.5735
16.8635  170.9500
17.7010  159.7541
18.9510  160.4803
19.6139  165.6510
20.5081  171.4207
21.2557  169.7644
23.1980  169.2161
23.6267  169.5306
23.8427  169.5516
25.3032  170.0409
27.4637  187.5097
27.5691  177.6621
29.8326  182.0220
30.8381  175.6846
30.9658  177.2656
31.4841  174.8855
31.5350  165.2195
31.5698  171.6048
31.8018  169.5526
34.5116  168.4962
34.6573  173.8222
34.7377  186.4533
36.5795  180.2271
36.6720  186.9307
40.8497  183.6117
41.4645  185.5978
