# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.3715  111.0451
1.0932  151.4428
1.8508  185.9091
2.6231  197.7297
2.8585  199.8937
3.1540  215.8726
3.8547  211.6162
4.2315  228.8560
4.3339  223.9697
4.7037  227.5220
5.2582  234.8672
5.4248  236.8414
6.0278  233.3400
6.1516  241.6989
6.1616  238.7275
6.8304  234.8893
8.1313  244.5495
8.3564  252.8698
9.2550  256.2293
10.3170  253.0570
11.0657  244.3734
11.2885  252.9956
11.4098  254.9089
12.0214  254.7871
12.2429  255.2431
12.3143  253.1838
12.7090  251.2580
14.6628  249.4553
14.7004  243.0197
15.2279  254.3638
15.8344  253.7463
16.0736  255.6558
16.1150  246.1888
16.2060  256.1201
17.0153  263.3111
17.2963  253.4725
17.5286  252.8039
18.1252  254.7294
