# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
3.0773  58.4163
14.7805  131.0655
16.2072  131.5027
16.4997  130.8910
17.4076  132.6750
17.6750  138.3094
17.8339  135.2143
17.8808  134.8499
18.1884  131.1759
18.3264  138.5694
20.9780  142.8552
21.5102  143.1357
22.0188  146.6386
23.3490  151.5747
23.8701  152.1395
25.3102  153.4347
26.9100  151.4794
28.4612  151.5734
29.6441  150.3726
30.2131  153.1586
31.2416  157.1276
33.1297  154.5849
33.2964  159.1179
34.9099  154.9083
37.7167  153.0484
38.2790  165.7353
38.9268  159.5798
44.8994  160.0411
