# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.0205  131.9441
1.0484  151.5647
1.0485  135.2645
1.0856  139.1546
1.6393  147.1851
1.6650  162.7363
1.8514  163.4716
2.0150  162.2081
2.4890  160.7249
2.7894  171.8700
2.9344  166.6305
3.2288  182.0973
3.2812  179.2426
3.4090  176.6283
3.6367  165.5138
3.7970  173.7579
4.8153  186.7404
4.8209  189.3854
5.0256  189.5385
5.5761  177.5330
5.9010  187.7133
6.0481  191.5700
6.1633  178.4118
6.4674  187.1673
6.5839  188.7500
6.6009  185.9016
6.6754  178.2499
6.7517  185.9864
7.1183  186.4287
7.1975  187.4122
7.2325  185.3727
7.2613  186.0054
7.3082  188.0706
7.5023  190.6715
8.0306  187.3738
8.1255  186.9152
8.3493  189.5729
8.6594  179.6868
8.8091  191.7546
8.9540  189.4370
9.2144  189.7534
9.4935  194.4672
10.3021  180.1444
