# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.5859  102.0401
0.7782  132.8556
1.4546  172.6601
1.5058  173.0187
1.7121  191.4150
1.9652  204.7140
2.2487  212.6983
2.5375  221.3773
2.5478  238.4582
2.8562  238.7222
3.6919  254.1436
3.9232  266.7369
4.4044  269.2046
4.7126  272.4807
4.7660  277.1893
4.7931  268.2329
5.1302  280.0383
5.2807  289.2589
5.3685  282.8053
5.8068  282.0254
5.8300  281.5332
6.0457  283.4392
6.2226  285.2804
6.5072  286.1864
6.5286  292.7633
6.6984  280.3217
7.0312  294.6973
7.3876  289.7575
7.5419  294.0257
7.6791  286.9079
8.2708  300.6441
8.5308  300.7493
9.5419  300.8220
9.7786  288.7083
9.9719  300.6177
10.2910  298.7738
10.5048  288.8866
10.7277  296.9448
10.7732  298.9183
11.5982  300.3103
11.7921  298.4956
11.8140  299.0740
12.0135  305.0594
