# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.9767  47.1614
3.0490  57.1865
3.3599  54.5859
5.9309  79.9420
8.3702  100.4732
11.2750  111.6612
12.1063  112.5357
12.8023  110.5689
13.7522  102.1532
14.7046  112.4029
16.8010  106.4092
17.2438  105.6325
23.3655  118.1160
23.8885  119.7219
25.8278  122.1905
26.0788  120.2207
26.3486  120.4563
26.6692  112.9470
26.6821  117.3482
27.8260  110.5654
28.9486  108.2707
29.9516  122.1316
30.1267  114.6851
31.3505  122.9531
32.7373  124.2612
33.0995  115.6521
33.1472  121.7040
34.7042  115.5539
35.3280  109.6663
35.9493  119.5448
36.1145  116.5820
36.4653  116.7525
37.0630  128.8558
37.9946  111.3859
