# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
2.8771  149.3416
3.4793  171.5259
3.6963  169.0389
4.1029  178.3157
6.0437  200.3904
6.0582  204.4929
6.1942  197.7669
6.3484  197.8899
7.6341  213.0372
8.1738  217.7126
9.5492  221.8491
9.6462  216.4524
9.8109  224.4002
9.8303  217.3525
11.5427  222.6058
11.5465  220.5009
12.0785  232.6653
12.9585  230.6105
13.3695  230.9710
17.8566  237.1910
18.6063  245.2527
18.7335  222.6787
19.0517  227.6161
19.9751  228.4321
20.2958  227.3190
21.0980  226.3147
21.9480  230.3144
21.9968  225.7352
