# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
1.0377  119.9226
1.3301  134.2057
1.6281  141.1381
1.9240  148.2077
2.1823  156.5398
2.1996  153.2121
3.5213  193.2854
3.6036  193.1799
4.1339  200.1859
4.3921  191.4075
4.5336  201.9113
4.6164  214.8656
4.8867  209.3910
5.0382  216.3412
5.2569  210.0867
7.0264  239.8778
7.5962  235.6559
8.2339  241.3791
8.5107  252.9334
9.4824  253.0419
9.6550  244.5680
11.1164  247.6205
11.5665  250.0551
11.6349  254.3888
12.2240  252.5630
13.1395  252.7431
13.2562  262.2393
13.4282  254.5944
13.9987  267.4615
16.4646  258.8773
16.6554  267.4885
17.0898  260.6418
18.4226  264.4075
19.4358  256.3977
19.8183  255.8895
19.9335  262.4959
20.1330  265.2055
20.1991  260.4851
20.7631  254.0188
20.7936  253.6579
