# Synthetic SPARC rotmod
# r(kpc)  Vobs(km/s)
0.4082  36.3252
0.6706  45.9306
0.9367  66.4126
0.9739  67.7390
2.7190  91.1296
3.0596  100.2451
3.1593  98.9231
3.1768  97.2080
3.2667  89.9880
3.7106  106.5819
3.7948  101.1884
4.5282  100.9934
4.9759  101.7905
6.1479  110.9060
6.6131  102.6453
6.6503  114.6010
6.6814  106.4193
7.3654  114.7143
7.6534  110.8629
7.9183  112.6665
8.0197  110.3918
8.8939  114.7806
9.0224  125.2127
9.1436  122.8542
9.2276  117.8111
9.4385  116.1766
9.5182  120.6200
9.7472  122.3125
9.9235  112.7053
10.4890  117.0219
10.8425  108.6040
11.3761  123.7361
11.4323  128.4851
11.5363  118.6318
12.4931  108.1748
12.6630  121.9305
13.0618  114.5527
13.1403  115.7909
13.3031  122.3097
13.6477  120.5862
